date,cb_score_lw,cb_regime,fi_score_lw,fi_regime,general
2026-04-22,-0.9,NEUTRAL,0.39,DRAIN,NEUTRAL_PARTIAL
2026-04-29,-0.5,DRAIN,0.11,DRAIN,LIQUIDITY_DRAIN
2026-05-06,0.7,NEUTRAL,0.54,DRAIN,NEUTRAL_PARTIAL
2026-05-13,0.3,INJECTION,0.94,DRAIN,NEUTRAL_CONFLICT
2026-05-20,0.3,INJECTION,0.91,NEUTRAL,NEUTRAL_PARTIAL
2026-05-27,0.3,INJECTION,0.88,NEUTRAL,NEUTRAL_PARTIAL
2026-06-03,0.3,INJECTION,0.6,NEUTRAL,NEUTRAL_PARTIAL
2026-06-10,0.7,INJECTION,0.7,NEUTRAL,NEUTRAL_PARTIAL
2026-06-17,0.3,INJECTION,0.18,DRAIN,NEUTRAL_CONFLICT
2026-06-24,-0.5,NEUTRAL,0.18,DRAIN,NEUTRAL_PARTIAL
2026-07-01,-0.5,DRAIN,1.25,DRAIN,LIQUIDITY_DRAIN
2026-07-08,0.5,NEUTRAL,0.77,NEUTRAL,NEUTRAL_PARTIAL
2026-07-15,0.1,INJECTION,1.46,NEUTRAL,NEUTRAL_PARTIAL
2026-07-22,-0.3,NEUTRAL,1.62,INJECTION,NEUTRAL_PARTIAL
2026-07-29,-1.58,DRAIN,0.75,INJECTION,NEUTRAL_CONFLICT
2026-08-05,-0.7,DRAIN,0.99,NEUTRAL,NEUTRAL_PARTIAL
2026-08-12,-0.7,DRAIN,1.45,INJECTION,NEUTRAL_CONFLICT
2026-08-19,-0.7,DRAIN,1.4,INJECTION,NEUTRAL_CONFLICT
2026-08-26,-0.7,DRAIN,1.29,INJECTION,NEUTRAL_CONFLICT
2026-09-02,-0.7,DRAIN,0.96,INJECTION,NEUTRAL_CONFLICT
