date,cb_score_lw,cb_regime,fi_score_lw,fi_regime,general
2026-05-29,-0.8,DRAIN,0.34,NEUTRAL,NEUTRAL_PARTIAL
2026-06-05,0.03,NEUTRAL,0.6,NEUTRAL,NEUTRAL_PARTIAL
2026-06-12,-0.62,NEUTRAL,0.89,INJECTION,NEUTRAL_PARTIAL
2026-06-19,-0.55,DRAIN,0.46,INJECTION,NEUTRAL_CONFLICT
2026-06-26,-0.65,DRAIN,0.54,INJECTION,NEUTRAL_CONFLICT
2026-07-03,0.15,NEUTRAL,0.73,INJECTION,NEUTRAL_PARTIAL
2026-07-10,-0.13,NEUTRAL,0.3,INJECTION,NEUTRAL_PARTIAL
2026-07-17,-0.66,NEUTRAL,0.89,INJECTION,NEUTRAL_PARTIAL
2026-07-24,-0.64,DRAIN,-0.06,NEUTRAL,NEUTRAL_PARTIAL
2026-07-31,-0.54,DRAIN,0.06,NEUTRAL,NEUTRAL_PARTIAL
2026-08-07,-0.4,DRAIN,-0.11,DRAIN,LIQUIDITY_DRAIN
2026-08-14,-0.01,NEUTRAL,0.16,DRAIN,NEUTRAL_PARTIAL
2026-08-21,-0.34,NEUTRAL,0.53,NEUTRAL,NEUTRAL_PARTIAL
2026-08-28,-0.09,NEUTRAL,0.64,NEUTRAL,NEUTRAL_PARTIAL
2026-09-04,0.24,INJECTION,0.59,INJECTION,LIQUIDITY_INJECTION
