date,on_t0,on,1w,2w,3w,1m,3m,6m,1y
2026-04-16,0.751,0.754,0.75,0.751,0.764,0.799,0.883,0.948,1.087
2026-04-17,0.751,0.755,0.75,0.75,0.764,0.795,0.871,0.947,1.087
2026-04-20,0.751,0.755,0.75,0.751,0.764,0.791,0.869,0.946,1.087
2026-04-21,0.751,0.755,0.75,0.751,0.759,0.777,0.848,0.942,1.084
2026-04-22,0.751,0.754,0.75,0.751,0.754,0.758,0.844,0.94,1.082
2026-04-23,0.75,0.752,0.75,0.75,0.752,0.754,0.84,0.939,1.082
2026-04-24,0.75,0.752,0.75,0.75,0.751,0.753,0.839,0.938,1.08
2026-04-27,0.751,0.752,0.75,0.75,0.75,0.75,0.839,0.938,1.082
2026-04-28,0.751,0.745,0.75,0.75,0.75,0.75,0.837,0.938,1.082
2026-04-30,0.75,0.751,0.75,0.75,0.75,0.75,0.84,0.938,1.086
2026-05-01,0.751,0.753,0.75,0.75,0.75,0.75,0.844,0.938,1.087
2026-05-07,0.748,0.754,0.75,0.75,0.75,0.75,0.849,0.938,1.088
2026-05-08,0.752,0.755,0.75,0.75,0.75,0.75,0.856,0.941,1.089
2026-05-11,0.745,0.754,0.75,0.75,0.75,0.75,0.857,0.943,1.091
2026-05-12,0.749,0.754,0.75,0.75,0.75,0.75,0.866,0.946,1.092
2026-05-13,0.75,0.754,0.75,0.75,0.75,0.75,0.867,0.947,1.092
2026-05-14,0.749,0.754,0.75,0.75,0.75,0.75,0.87,0.948,1.092
2026-05-15,0.751,0.754,0.75,0.75,0.75,0.75,0.882,0.95,1.093
2026-05-18,0.751,0.755,0.75,0.75,0.75,0.756,0.891,0.952,1.098
2026-05-19,0.751,0.755,0.75,0.75,0.75,0.764,0.893,0.954,1.104
2026-05-20,0.752,0.755,0.75,0.75,0.75,0.772,0.903,0.956,1.111
2026-05-21,0.75,0.755,0.75,0.75,0.75,0.787,0.909,0.96,1.113
2026-05-22,0.751,0.755,0.75,0.75,0.75,0.797,0.914,0.963,1.115
2026-05-25,0.751,0.754,0.75,0.75,0.75,0.805,0.918,0.966,1.118
2026-05-26,0.752,0.754,0.75,0.75,0.75,0.81,0.92,0.97,1.116
2026-05-27,0.752,0.754,0.75,0.75,0.75,0.813,0.921,0.971,1.116
2026-05-28,0.752,0.75,0.75,0.75,0.754,0.817,0.921,0.971,1.113
2026-05-29,0.752,0.755,0.75,0.75,0.764,0.824,0.922,0.973,1.115
2026-06-01,0.752,0.755,0.751,0.751,0.782,0.843,0.931,0.975,1.116
2026-06-02,0.751,0.755,0.752,0.752,0.791,0.855,0.933,0.976,1.118
2026-06-03,0.751,0.755,0.752,0.752,0.797,0.866,0.942,0.977,1.124
