date,tenor,offered_100m,competitive_bids,accepted,bid_to_cover,highest_accepted_yield
2026-05-12,10y,26000.0,76166.0,19510.0,3.904,2.54
2026-05-14,30y,6000.0,15876.0,4544.0,3.494,3.842
2026-05-18,5y,25000.0,62141.0,19322.0,3.216,2.024
2026-05-20,20y,7000.0,21090.0,5258.0,4.011,3.711
2026-05-25,gx5y,2500.0,11556.0,2500.0,4.622,1.941
2026-05-27,40y,3000.0,8094.0,2996.0,2.702,3.84
2026-05-29,2y,28000.0,78905.0,21347.0,3.696,1.369
2026-06-02,10y,26000.0,70031.0,19839.0,3.53,2.649
2026-06-10,30y,6000.0,13237.0,4508.0,2.936,3.86
2026-06-23,5y,25000.0,59322.0,19063.0,3.112,1.905
2026-06-25,20y,7000.0,15736.0,5304.0,2.967,3.542
2026-06-30,2y,28000.0,103744.0,21534.0,4.818,1.407
2026-07-02,10y,26000.0,61448.0,19631.0,3.13,2.729
2026-07-07,30y,6000.0,20700.0,4549.0,4.55,3.993
2026-07-09,5y,25000.0,65424.0,19059.0,3.433,2.02
2026-07-14,20y,7000.0,24008.0,5309.0,4.522,3.626
2026-07-22,40y,3000.0,8467.0,2998.0,2.824,3.865
2026-07-30,2y,28000.0,77386.0,21344.0,3.626,1.483
