Ministero dell'Economia e delle Finanze;;;;;;
Direzione Debito Pubblico;;;;;;
Scadenze suddivise per anno;;;;;;
(Aggiornato al 31/12/2022);;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro
IT0005496770;BTP 15;01/03/2022;01/03/2038;3,25; EUR;7.450.000.000,00
NGEU apr.2022/mag.2052;6^  rimborso;13/04/2022;20/05/2038;n/d;EUR;550.000.000,00
 IT0005321325   ; BTP 20;01/09/2017;01/09/2038;2,950; EUR;14.963.750.000,00
NGEU ago.2021/set.2051  ;7^ rimborso ;13/08/2021;10/09/2038;n/d; EUR;796.911.767,60
NGEU nov.2022/dic.2052;6^ rimborso;08/11/2022;13/12/2038;n/d; EUR;550.000.000,00
NGEU apr.2022/mag.2052;7^  rimborso;13/04/2022;18/05/2039;n/d;EUR;550.000.000,00
 IT0004286966   ; BTP 30;01/08/2007;01/08/2039;5,000; EUR;25.251.265.000,00
 XS2088745430   ; EMTN;02/12/2019;01/09/2039; 0,913  Cedola reale; EUR;919.648.000,00
NGEU ago.2021/set.2051  ;8^ rimborso;13/08/2021;09/09/2039;n/d; EUR;796.911.767,60
NGEU nov.2022/dic.2052;7^ rimborso;08/11/2022;13/12/2039;n/d; EUR;550.000.000,00
 IT0005377152   ; BTP 20;01/03/2019;01/03/2040;3,100; EUR;14.219.900.000,00
NGEU apr.2022/mag.2052;8^  rimborso;13/04/2022;21/05/2040;n/d;EUR;550.000.000,00
 IT0004532559   ; BTP 30;01/09/2009;01/09/2040;5,000; EUR;22.152.355.000,00
NGEU ago.2021/set.2051  ;9^ rimborso ;13/08/2021;10/09/2040;n/d; EUR;796.911.767,60
SURE;2^ tranche;27/10/2020;04/10/2040;0,100; EUR;4.500.000.000,00
 XS2265524210 ; EMTN;02/12/2020;02/12/2040; Variabile;EUR;725.000.000,00
NGEU nov.2022/dic.2052;8^ rimborso;08/11/2022;13/12/2040;n/d; EUR;550.000.000,00
IT0005421703;BTP 20;15/09/2020;01/03/2041;1,800; EUR;16.600.000.000,00
NGEU apr.2022/mag.2052;9^  rimborso;13/04/2022;22/05/2041;n/d;EUR;550.000.000,00
NGEU ago.2021/set.2051  ;10^  rimborso ;13/08/2021;10/09/2041;n/d; EUR;796.911.767,60
 IT0004545890   ; BTP€i 30;15/09/2009;15/09/2041; 2,550  Cedola reale; EUR;17.024.589.787,52
NGEU nov.2022/dic.2052;9^ rimborso;08/11/2022;13/12/2041;n/d; EUR;550.000.000,00
NGEU apr.2022/mag.2052;10^  rimborso;13/04/2022;19/05/2042;n/d;EUR;550.000.000,00
 XS0740661516   ; EMTN;01/02/2012;25/07/2042; 4,200  Cedola reale; EUR;288.226.800,00
NGEU ago.2021/set.2051  ;11^ rimborso ;13/08/2021;10/09/2042;n/d; EUR;796.911.767,60
NGEU nov.2022/dic.2052;10^ rimborso;08/11/2022;12/12/2042;n/d; EUR;550.000.000,00
 XS1192711189   ; EMTN;18/02/2015;18/02/2043; 1,190  Cedola reale; EUR;362.103.000,00
NGEU apr.2022/mag.2052;11^  rimborso;13/04/2022;19/05/2043;n/d;EUR;550.000.000,00
NGEU ago.2021/set.2051  ;12^ rimborso ;13/08/2021;10/09/2043;n/d; EUR;796.911.767,60
NGEU nov.2022/dic.2052;11^ rimborso;08/11/2022;11/12/2043;n/d; EUR;550.000.000,00
 XS1022037805   ; EMTN;24/01/2014;24/01/2044; 2,970  Cedola reale; EUR;302.182.500,00
NGEU apr.2022/mag.2052;12^  rimborso;13/04/2022;20/05/2044;n/d;EUR;550.000.000,00
 IT0004923998   ; BTP 30;01/03/2013;01/09/2044;4,750; EUR;18.019.363.000,00
NGEU ago.2021/set.2051  ;13^ rimborso;13/08/2021;09/09/2044;n/d; EUR;796.911.767,60
NGEU nov.2022/dic.2052;12^ rimborso;08/11/2022;13/12/2044;n/d; EUR;550.000.000,00
IT0005438004;BTP Green 24;30/10/2020;30/04/2045;1,500; EUR;13.500.000.000,00
NGEU apr.2022/mag.2052;13^  rimborso;13/04/2022;19/05/2045;n/d;EUR;550.000.000,00
 IT0003838031   ; Ispa Obbl;25/04/2005;31/07/2045; Variabile; EUR;1.000.000.000,00
 IT0003805295   ; Ispa Obbl;04/03/2005;31/07/2045; Variabile; EUR;850.000.000,00
NGEU ago.2021/set.2051  ;14^ rimborso;13/08/2021;08/09/2045;n/d; EUR;796.911.767,60
NGEU nov.2022/dic.2052;13^ rimborso;08/11/2022;13/12/2045;n/d; EUR;550.000.000,00
SURE;8^ tranche;30/03/2021;02/05/2046;0,450; EUR;1.200.000.000,00
 XS1405801041   ; EMTN;04/05/2016;04/05/2046; 1,483  Cedola reale; EUR;776.002.680,00
NGEU apr.2022/mag.2052;14^  rimborso;13/04/2022;21/05/2046;n/d;EUR;550.000.000,00
 IT0005083057   ; BTP 30;01/09/2014;01/09/2046;3,250; EUR;17.904.325.000,00
NGEU ago.2021/set.2051  ;15^ rimborso;13/08/2021;10/09/2046;n/d; EUR;796.911.767,60
NGEU nov.2022/dic.2052;14^ rimborso;08/11/2022;13/12/2046;n/d; EUR;550.000.000,00
SURE;9^ tranche;25/05/2021;04/01/2047;0,750; EUR;751.000.000,00
