Ministero dell'Economia e delle Finanze;;;;;;;;;;;;
Debito Pubblico;;;;;;;;;;;;
Scadenze  suddivise per anno;;;;;;;;;;;;
(Dati aggiornati al 31.12.2021);;;;;;;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro;;;;;;
Prestito SURE ;6^ tranche;16/03/2021;04/06/1936;0,2; EUR;3,867,000,000.00;;;;;;
 IT0005177909   ; BTP 20;01/03/2016;01/09/1936;2,25; EUR;15,393,000,000.00;;;;;;
NGEU ago.2021/set.2051 ;(a) Rimborso 5^ rata ;01/08/2021;10/09/1936;n/d; EUR;796,911,767.60;;;;;;
 IT0003934657   ; BTP 30;01/08/2005;01/02/1937;4; EUR;27,890,758,000.00;;;;;;
 IT0005433195; BTP 15;12/01/2021;01/03/1937;0,95; EUR;14,500,000,000.00;;;;;;
IT0005442089 ;BTP Futura 16;27/04/2021;27/04/1937;\"0,750  \"\"step-up\"\"\"; EUR;5,477,083,000.00;;;;;;
NGEU ago.2021/set.2051 ;(a) Rimborso 6^ rata ;01/08/2021;10/09/1937;n/d; EUR;796,911,767.60;;;;;;
 IT0005321325   ; BTP 20;01/09/2017;01/09/1938;2,95; EUR;14,963,750,000.00;;;;;;
NGEU ago.2021/set.2051 ;(a) Rimborso 7^ rata;01/08/2021;10/09/1938;n/d; EUR;796,911,767.60;;;;;;
 IT0004286966   ; BTP 30;01/08/2007;01/08/1939;5; EUR;22,775,265,000.00;;;;;;
 XS2088745430   ; EMTN;02/12/2019;01/09/1939; 0,913  Cedola reale; EUR;829,976,000.00;;;;;;
NGEU ago.2021/set.2051 ;(a) Rimborso 8^ rata;01/08/2021;09/09/1939;n/d; EUR;796,911,767.60;;;;;;
 IT0005377152   ; BTP 20;01/03/2019;01/03/1940;3,1; EUR;13,319,900,000.00;;;;;;
 IT0004532559   ; BTP 30;01/09/2009;01/09/1940;5; EUR;22,152,355,000.00;;;;;;
NGEU ago.2021/set.2051 ;(a) Rimborso 9^ rata;01/08/2021;10/09/1940;n/d; EUR;796,911,767.60;;;;;;
Prestito SURE ;2^ tranche;27/10/2020;04/10/1940;0,1; EUR;4,500,000,000.00;;;;;;
 XS2265524210 ; EMTN;02/12/2020;02/12/1940; Variabile;EUR;725,000,000.00;;;;;;
IT0005421703;BTP 20a;15/09/2020;01/03/1941;1,8; EUR;14,500,000,000.00;;;;;;
NGEU ago.2021/set.2051 ;(a) Rimborso 10^ rata;01/08/2021;10/09/1941;n/d; EUR;796,911,767.60;;;;;;
 IT0004545890   ; BTP€i 30;15/09/2009;15/09/1941; 2,550  Cedola reale; EUR;14,217,605,139.60;;;;;;
 XS0740661516   ; EMTN;01/02/2012;25/07/1942; 4,200  Cedola reale; EUR;260,123,100.00;;;;;;
NGEU ago.2021/set.2051 ;(a) Rimborso 11^ rata;01/08/2021;10/09/1942;n/d; EUR;796,911,767.60;;;;;;
 XS1192711189   ; EMTN;18/02/2015;18/02/1943; 1,190  Cedola reale; EUR;326,796,000.00;;;;;;
