Series ID,DGFACHM,DGFACH12,DGFACOHM,DGFACOH12,DGFACIHM,DGFACIH12,DGFACOPM,DGFACOP12,DGFACBNFM,DGFACBNF12,DGFACBM,DGFACB12,DGFACBNWM,DGFACBNW12,DGFACNFM,DGFACNF12,DGFACM,DGFAC12,DGFACNWM,DGFACNW12,DGFAM3M,DGFAM312,DGFABMM,DGFABM12
31/07/1987,1.0,11.8,,,,,-0.7,3.7,,,2.6,22.0,,,,,1.8,17.3,,,1.4,10.4,1.9,14.5
31/08/1987,0.8,11.8,,,,,1.8,5.1,,,2.0,21.1,,,,,1.7,16.9,,,1.0,10.8,1.6,15.4
30/09/1987,1.2,12.2,,,,,0.1,4.6,,,1.5,21.5,,,,,1.3,17.3,,,1.1,11.6,1.2,16.0
31/10/1987,1.0,12.4,,,,,0.1,4.5,,,1.9,21.7,,,,,1.5,17.4,,,1.1,12.0,1.1,15.7
30/11/1987,0.9,12.5,,,,,0.4,4.2,,,2.8,24.1,,,,,2.1,19.0,,,1.5,13.5,1.5,16.7
31/12/1987,1.2,12.9,,,,,0.5,4.4,,,2.9,25.5,,,,,2.2,20.1,,,0.3,12.6,1.7,17.3
31/01/1988,1.3,13.2,,,,,0.3,4.0,,,3.7,28.3,,,,,2.8,21.8,,,0.6,11.8,2.6,19.0
29/02/1988,1.1,13.4,,,,,-0.2,2.8,,,2.5,29.3,,,,,1.9,22.4,,,0.6,11.5,1.1,18.9
31/03/1988,1.4,14.1,,,,,0.2,2.7,,,1.9,30.2,,,,,1.6,23.2,,,1.1,12.7,1.7,19.9
30/04/1988,1.3,14.7,,,,,-0.3,2.3,,,1.9,28.8,,,,,1.6,22.5,,,0.9,13.2,1.3,20.5
31/05/1988,1.4,14.6,,,,,0.6,3.0,,,1.8,28.6,,,,,1.6,22.5,,,1.2,12.6,1.3,20.1
30/06/1988,1.6,15.2,,,,,-0.4,2.4,,,2.4,31.5,,,,,2.0,24.4,,,1.6,13.0,1.6,20.4
31/07/1988,1.8,16.1,,,,,0.7,3.8,,,1.9,30.6,,,,,1.7,24.3,,,0.5,12.0,0.9,19.2
31/08/1988,2.0,17.5,,,,,0.6,2.6,,,1.4,29.8,,,,,1.5,24.0,,,1.1,12.2,0.9,18.4
30/09/1988,2.1,18.5,,,,,1.5,4.1,,,2.1,30.6,,,,,2.1,24.9,,,1.6,12.8,1.5,18.8
31/10/1988,1.5,19.1,,,,,1.4,5.4,,,2.2,31.0,,,,,2.0,25.5,,,2.1,13.9,1.7,19.4
30/11/1988,1.9,20.2,,,,,1.6,6.7,,,1.8,29.7,,,,,1.8,25.1,,,1.9,14.3,1.5,19.4
31/12/1988,1.8,20.9,,,,,1.4,7.6,,,1.4,27.8,,,,,1.5,24.2,,,2.3,16.6,1.8,19.6
31/01/1989,1.6,21.2,,,,,1.6,9.0,,,-0.2,23.0,,,,,0.3,21.2,,,1.7,17.9,-0.3,16.2
28/02/1989,1.7,22.0,,,,,0.9,10.3,,,1.6,22.0,,,,,1.6,20.8,,,2.0,19.5,1.0,16.2
31/03/1989,1.8,22.5,,,,,1.1,11.3,,,1.2,21.2,,,,,1.4,20.4,,,1.8,20.3,1.1,15.5
30/04/1989,1.8,23.1,,,,,0.4,12.2,,,1.3,20.5,,,,,1.3,20.1,,,1.7,21.3,0.9,15.0
31/05/1989,1.5,23.2,,,,,1.4,13.0,,,2.0,20.9,,,,,1.8,20.4,,,1.4,21.6,1.1,14.7
30/06/1989,1.3,22.8,,,,,3.0,16.9,,,1.3,19.5,,,,,1.5,19.9,,,1.9,22.0,1.7,14.8
31/07/1989,1.5,22.5,,,,,2.5,18.9,,,0.8,18.2,,,,,1.1,19.1,,,1.5,23.3,0.7,14.6
31/08/1989,1.0,21.3,,,,,0.1,18.3,,,1.2,18.0,,,,,1.0,18.6,,,1.9,24.2,0.9,14.5
30/09/1989,0.8,19.8,,,,,0.0,16.6,,,1.6,17.5,,,,,1.2,17.6,,,0.1,22.4,0.2,12.9
31/10/1989,1.1,19.3,,,,,0.2,15.1,,,0.9,16.0,,,,,0.8,16.3,,,0.8,20.9,0.5,11.6
30/11/1989,1.1,18.3,,,,,0.6,14.0,,,1.1,15.1,,,,,1.0,15.4,,,0.7,19.5,0.6,10.6
31/12/1989,1.1,17.5,,,,,0.7,13.3,,,0.8,14.4,,,,,0.8,14.7,,,0.8,17.8,1.1,9.8
31/01/1990,1.2,17.1,,,,,0.3,11.9,,,0.1,14.8,,,,,0.4,14.8,,,1.1,17.1,0.8,11.0
28/02/1990,1.2,16.5,1.0,,4.7,,0.5,11.4,,,1.8,15.1,,,,,1.5,14.8,,,1.1,16.1,0.5,10.3
31/03/1990,1.0,15.6,1.0,,3.0,,0.1,10.3,,,1.9,15.8,,,,,1.4,14.9,,,0.9,15.0,0.3,9.4
30/04/1990,1.1,14.8,1.3,,2.5,,2.0,12.0,,,1.3,15.8,,,,,1.4,15.0,,,1.2,14.5,0.8,9.3
31/05/1990,1.0,14.1,1.0,,2.2,,0.4,11.0,,,0.2,13.7,,,,,0.4,13.4,,,0.5,13.5,0.3,8.5
30/06/1990,1.0,13.7,1.0,,3.0,,0.6,8.3,,,0.6,12.9,,,,,0.6,12.4,,,0.7,12.1,0.2,6.9
31/07/1990,1.0,13.2,0.4,,4.0,,0.7,6.5,,,0.8,12.9,,,,,0.8,12.0,,,0.2,10.7,0.2,6.3
31/08/1990,1.3,13.6,1.0,,5.9,,-2.4,3.8,,,0.7,12.4,,,,,0.5,11.4,,,0.9,9.6,0.7,6.2
30/09/1990,0.5,13.2,0.7,,1.4,,0.9,4.7,,,-0.3,10.3,,,,,0.1,10.2,,,1.1,10.7,0.4,6.5
