A1 RESERVE BANK OF AUSTRALIA - BALANCE SHEET
Title,Notes on issue,Exchange settlement balances,Deposits of overseas institutions,Australian Government Deposits,State Governments Deposits,Other Deposits,Other liabilities,Other reserves and current year earnings,Capital and Reserve Bank Reserve Fund,Total liabilities and equity,Gold and foreign exchange,Australian dollar investments,Other assets (including clearing items),Total assets
03-Jan-2024,102369,348364,1205,83287,57,0,16527,-17127,40,534722,95464,436768,2490,534722
10-Jan-2024,102331,365990,1650,64061,452,1,14051,-17566,40,531010,93202,435043,2765,531010
17-Jan-2024,102159,365289,1555,62957,118,2,13740,-17223,40,528637,93692,432553,2392,528637
24-Jan-2024,102002,358520,1489,69550,13,4,16064,-17335,40,530347,96556,431006,2785,530347
31-Jan-2024,101882,356620,1384,70142,86,0,13660,-14634,40,529180,92644,434072,2464,529180
07-Feb-2024,101746,362787,1269,64869,1782,0,17948,-15355,40,535086,98668,433551,2867,535086
14-Feb-2024,101557,364725,1534,63284,368,2,19719,-17342,40,533887,99881,431499,2507,533887
21-Feb-2024,101331,352293,1594,76314,40,3,19481,-16903,40,534193,99299,432031,2863,534193
28-Feb-2024,101192,338091,1415,85922,7,0,18956,-16466,40,529157,99859,426807,2491,529157
06-Mar-2024,100997,334174,1662,89514,5,1,16556,-14593,40,528356,98148,427407,2801,528356
13-Mar-2024,100960,338748,1854,83065,416,53,17391,-15650,40,526877,98458,425987,2432,526877
20-Mar-2024,100981,332759,1801,89413,77,3,17469,-15181,40,527362,99008,425506,2848,527362
27-Mar-2024,101341,330298,1481,91477,86,2,21171,-14593,40,531303,101855,426958,2490,531303
03-Apr-2024,101501,327819,1565,95820,5,0,18761,-15512,40,529999,100729,426375,2895,529999
10-Apr-2024,101606,330347,1535,91161,488,2,16898,-16143,40,525934,98564,424932,2438,525934
17-Apr-2024,101658,334370,1583,87234,102,6,20153,-17108,40,528038,104365,420728,2945,528038
24-Apr-2024,101671,336119,1806,60972,48,0,15006,-19252,40,496410,97866,395913,2631,496410
01-May-2024,101634,335211,1543,63740,49,12,16708,-20099,40,498838,100857,394950,3031,498838
08-May-2024,101634,334755,1571,61182,1093,1,20143,-18926,40,501493,103493,395477,2523,501493
15-May-2024,101466,332138,1633,60478,65,2,17292,-19495,40,493619,100173,390556,2890,493619
22-May-2024,101320,315200,1858,69784,4,5,18277,-19213,40,487275,100833,383994,2448,487275
29-May-2024,101209,297228,2121,77287,12,6,21059,-20661,40,478301,103370,371863,3068,478301
05-Jun-2024,101154,275605,1819,90478,28,1,19035,-19235,40,468925,103429,362967,2529,468925
12-Jun-2024,101008,275673,1630,81193,332,1,16687,-19342,40,457222,101481,352811,2930,457222
19-Jun-2024,100901,256688,1557,92169,120,37,16869,-19039,40,449342,100908,345978,2456,449342
26-Jun-2024,100772,220838,1696,103779,2,5,19861,-21079,40,425914,101855,320860,3199,425914
03-Jul-2024,100829,227829,1319,91067,3,1,19509,-21565,40,419032,102768,313803,2461,419032
10-Jul-2024,100707,238078,1350,81725,1030,2,18447,-21206,40,420173,100991,316266,2916,420173
17-Jul-2024,100676,245219,1394,76187,101,3,17077,-19535,40,421162,101023,317768,2371,421162
24-Jul-2024,100672,237930,1875,86096,7,5,19434,-18949,40,427110,105241,318830,3039,427110
31-Jul-2024,100672,234322,2025,94834,22,0,16822,-15172,40,433565,104533,326292,2740,433565
07-Aug-2024,100640,244526,1815,87981,2071,1,14942,-15024,40,436992,103275,330853,2864,436992
14-Aug-2024,100628,249654,1904,85294,421,1,13453,-13971,40,437424,101635,333345,2444,437424
21-Aug-2024,100619,235261,1970,97722,41,6,12544,-14409,40,433794,99026,331918,2850,433794
28-Aug-2024,100526,226021,1906,102346,22,0,9989,-14841,40,426009,95527,328060,2422,426009
04-Sep-2024,100557,220739,1933,103104,48,0,7635,-14411,40,419645,95345,321603,2697,419645
11-Sep-2024,100490,224698,1720,98978,431,2,7859,-12686,40,421532,97015,322252,2265,421532
18-Sep-2024,100462,231594,1736,95019,45,5,8479,-13212,40,424168,97736,323778,2654,424168
25-Sep-2024,100641,226909,1627,103452,41,2,10195,-14191,40,428716,97390,328945,2381,428716
02-Oct-2024,100803,235145,1726,98668,18,0,11645,-14804,40,433241,98591,331963,2687,433241
09-Oct-2024,100944,242303,2062,90386,391,1,14116,-16385,40,433858,101531,329989,2338,433858
16-Oct-2024,101017,246394,1436,86899,22,2,14568,-15958,40,434420,102141,329486,2793,434420
23-Oct-2024,101067,232097,1664,94475,34,5,20958,-17757,40,432583,109474,320621,2488,432583
30-Oct-2024,101254,230451,1491,97065,17,0,16851,-16267,40,430902,105723,322308,2871,430902
06-Nov-2024,101314,233803,1667,96306,32,1,17078,-18222,40,432019,106302,323272,2445,432019
13-Nov-2024,101522,242157,1881,86944,363,2,13314,-19403,40,426820,101654,322339,2827,426820
20-Nov-2024,101837,234903,1626,95475,28,2,15296,-17866,40,431341,104045,324903,2393,431341
27-Nov-2024,102141,249342,2054,63814,12,2,15462,-16258,40,416609,104869,308944,2796,416609
04-Dec-2024,102355,238077,2307,74728,33,3,14502,-14312,40,417733,104863,310342,2528,417733
11-Dec-2024,102817,241838,1625,69744,360,2,18071,-12467,40,422030,109931,309349,2750,422030
18-Dec-2024,103287,249595,1843,63756,99,14,14888,-12953,40,420569,106859,311341,2369,420569
25-Dec-2024,103699,247951,2475,63820,17,0,13699,-13370,40,418331,105342,310534,2455,418331
01-Jan-2025,103699,246245,1944,65027,18,0,13734,-12394,40,418313,105620,310313,2380,418313
08-Jan-2025,103812,261829,1980,46521,1094,5,16918,-13407,40,418792,108458,307554,2780,418792
15-Jan-2025,103627,265128,2521,42087,159,3,16249,-14099,40,415715,108215,305157,2343,415715
22-Jan-2025,103602,255645,2056,53621,94,7,14815,-13100,40,416780,107214,306759,2807,416780
29-Jan-2025,103644,255497,2145,54627,4,2,15864,-11550,40,420273,108526,309386,2361,420273
05-Feb-2025,103642,265690,1810,48485,17,0,12094,-10945,40,420833,106295,311636,2902,420833
12-Feb-2025,103551,252390,1706,60710,386,1,11186,-12400,40,417570,105258,309839,2473,417570
19-Feb-2025,103543,249555,2133,62067,42,5,,-13365,40,422435,111352,308191,2892,422435
26-Feb-2025,103382,231666,2099,80466,6,5,14479,-11660,40,420483,107974,309985,2524,420483
05-Mar-2025,103259,223822,2151,90615,10,1,13330,-10117,40,423111,108255,312048,2808,423111
12-Mar-2025,103259,226542,2076,87607,378,2,16192,-10248,40,425848,111494,311994,2360,425848
19-Mar-2025,103238,225342,1942,89871,39,5,19294,-10709,40,429062,113493,312797,2772,429062
26-Mar-2025,103129,216809,1630,99212,38,0,12918,-10466,40,423310,106601,314237,2472,423310
02-Apr-2025,103086,215095,1632,100566,15,0,21138,-9275,40,432297,115555,313950,2792,432297
09-Apr-2025,103442,219810,2089,97396,357,1,15426,-2265,40,436296,115596,318214,2486,436296
16-Apr-2025,103735,222446,1600,96079,14,2,19616,-5535,40,437997,116488,318482,3027,437997
23-Apr-2025,103795,229413,2072,64366,12,5,16195,-5901,40,409997,111645,295662,2690,409997
30-Apr-2025,103799,222866,1876,69000,6,1,15064,-5529,40,407123,109289,294888,2946,407123
07-May-2025,103717,223764,2678,63813,2039,1,15189,-6405,40,404836,109296,293028,2512,404836
14-May-2025,103703,227717,1862,61285,352,3,10289,-9253,40,395998,103124,289999,2875,395998
21-May-2025,103613,216707,2194,69197,20,5,11007,-7417,40,395366,104623,288274,2469,395366
28-May-2025,103676,212702,1629,73519,7,6,8730,-6468,40,393841,103027,287846,2968,393841
04-Jun-2025,103685,204243,1665,81760,32,0,10260,-5538,40,396147,105650,288019,2478,396147
11-Jun-2025,103685,209339,1490,76604,362,3,11232,-6823,40,395932,105698,287321,2913,395932
18-Jun-2025,103781,211893,1912,74503,33,5,11037,-5895,40,397309,105452,289428,2429,397309
25-Jun-2025,103753,201986,2138,86460,10,5,11534,-4761,40,401165,105708,292592,2865,401165
02-Jul-2025,103814,216689,2136,71702,7,1,11000,-5389,40,400000,103798,293675,2527,400000
09-Jul-2025,103737,226993,1872,63379,1121,1,15468,-6717,40,405894,108746,294187,2961,405894
16-Jul-2025,103759,227321,2230,60379,54,2,12510,-6994,40,399301,105782,290775,2744,399301
23-Jul-2025,103724,210757,2150,71591,40,5,11819,-6030,40,394096,105419,285514,3163,394096
30-Jul-2025,103919,199756,1438,81793,49,5,12496,-5938,40,393558,105963,284775,2820,393558
06-Aug-2025,104094,200598,1537,81321,13,1,10156,-5355,40,392405,104710,284600,3095,392405
13-Aug-2025,104339,212255,1397,70703,411,2,9332,-5286,40,393193,103552,287026,2615,393193
20-Aug-2025,104394,203185,2262,78053,68,8,11456,-4756,40,394710,107506,284215,2989,394710
27-Aug-2025,104494,194316,1815,88985,25,0,11338,-5324,40,395689,106971,286157,2561,395689
03-Sep-2025,104527,192868,1226,90701,28,1,9920,-5605,40,393706,105865,284881,2960,393706
10-Sep-2025,104518,196590,1870,86563,427,2,7969,-5366,40,392613,103554,286491,2568,392613
17-Sep-2025,104677,206094,1484,79181,33,3,8917,-5498,40,394931,104015,287934,2982,394931
24-Sep-2025,104903,201886,1614,82748,28,0,10375,-5434,40,396160,106192,287406,2562,396160
01-Oct-2025,105351,204050,1544,81681,14,5,14515,-5230,40,401970,112055,286906,3009,401970
08-Oct-2025,105529,215549,910,69603,1047,1,11781,-4212,40,400248,110547,287137,2564,400248
15-Oct-2025,105756,219394,1187,64537,385,2,13124,-2260,40,402165,112660,286491,3014,402165
22-Oct-2025,106233,208135,1704,73294,24,6,12077,-1681,40,399832,112670,284579,2583,399832
29-Oct-2025,106387,212878,1267,71020,11,6,13684,-4522,40,400771,111792,285920,3059,400771
05-Nov-2025,106871,212773,1064,69747,94,1,14066,-4207,40,400449,112363,285498,2588,400449
12-Nov-2025,107044,219777,1096,63635,520,2,11905,-4241,40,399778,111446,285285,3047,399778
19-Nov-2025,107361,214521,1010,69478,153,6,15084,-4014,40,403639,114715,286271,2653,403639
26-Nov-2025,107427,206768,2165,52293,8,6,11720,-5317,40,375110,110933,261164,3013,375110
03-Dec-2025,107802,194410,1593,64842,54,3,14753,-6506,40,376991,112183,262234,2574,376991
10-Dec-2025,108224,200429,1816,60329,756,1,16014,-8686,40,378923,113404,262444,3075,378923
17-Dec-2025,109105,204478,1697,57445,319,3,13811,-6963,40,379935,113817,263414,2704,379935
24-Dec-2025,109253,204116,1045,59817,212,6,10415,-7304,40,377600,110338,264057,3205,377600
31-Dec-2025,109253,202540,1134,59219,209,0,13896,-7613,40,378678,112902,262734,3042,378678
07-Jan-2026,109137,213483,1620,42864,2282,1,17144,-8078,40,378493,115305,260135,3053,378493
14-Jan-2026,109015,219671,1366,38966,557,2,13865,-6469,40,377013,113286,261147,2580,377013
21-Jan-2026,108786,202813,1115,54063,155,6,12285,-6116,40,373147,112351,257729,3067,373147
28-Jan-2026,108520,199410,1111,55911,26,0,11485,-7358,40,369145,110579,255986,2580,369145
04-Feb-2026,108391,191170,1123,66133,71,0,12085,-9643,40,369370,109344,257004,3022,369370
11-Feb-2026,107825,193304,973,62060,473,1,11021,-9476,40,366221,106868,256750,2603,366221
18-Feb-2026,107591,198989,1720,57907,85,6,12676,-9214,40,369800,109245,257543,3012,369800
25-Feb-2026,107483,182889,1528,74096,16,0,11278,-9109,40,368221,107539,258025,2657,368221
04-Mar-2026,107248,172440,2181,83764,147,1,12580,-8662,40,369739,107906,258817,3016,369739
11-Mar-2026,107098,174557,962,82656,536,3,11133,-11400,40,365585,106165,256883,2537,365585
18-Mar-2026,107033,181670,967,78238,131,6,18707,-12423,40,374369,114175,257117,3077,374369
25-Mar-2026,106897,171797,1148,89983,45,6,14624,-12607,40,371933,110786,258548,2599,371933
01-Apr-2026,107167,174802,1337,89423,21,0,15712,-10859,40,377643,113980,260621,3042,377643
08-Apr-2026,107167,176292,1540,86211,1135,1,13821,-11981,40,374226,111227,260327,2672,374226
15-Apr-2026,107142,183669,2012,79548,257,3,20402,-12550,40,380523,118024,259497,3002,380523
22-Apr-2026,107199,187871,2751,52787,108,8,16824,-13330,40,354258,113628,238038,2592,354258
29-Apr-2026,107253,184122,1328,59840,41,6,15202,-14475,40,353357,111224,239120,3013,353357
06-May-2026,107197,181615,1449,62123,230,1,19115,-14205,40,357565,114810,240050,2705,357565
13-May-2026,107265,191780,1393,53079,537,3,21208,-14761,40,360544,117654,239800,3090,360544
20-May-2026,107196,181251,1925,63010,131,6,19953,-14202,40,359310,116476,240253,2581,359310
27-May-2026,107236,168364,2367,74548,27,5,15518,-13645,40,354460,112092,239240,3128,354460
03-Jun-2026,107257,160349,1841,83574,105,-1,16525,-14031,40,355659,112807,240239,2613,355659
10-Jun-2026,107287,166469,2003,78990,463,1,14829,-13328,40,356754,111278,242370,3106,356754
17-Jun-2026,107212,172889,1522,75350,87,2,16773,-12202,40,361673,113526,245457,2690,361673
24-Jun-2026,107292,165154,1852,85583,1,6,19316,-12355,40,366889,115393,248375,3121,366889
01-Jul-2026,107334,184590,1342,67975,419,1,13725,-11692,40,363734,112597,248236,2901,363734
08-Jul-2026,107285,199451,1205,52881,1370,1,14216,-12451,40,363998,112520,248193,3285,363998
15-Jul-2026,107427,204967,1118,47310,287,2,11328,-12842,40,359637,109309,247182,3146,359637
22-Jul-2026,107551,190667,1304,59660,35,6,13933,-12998,40,360198,111886,244848,3464,360198
29-Jul-2026,107644,199071,1165,54292,9,6,11370,-12753,40,360844,108824,248893,3127,360844
05-Aug-2026,107750,201479,1271,52517,17,1,9930,-12330,40,360675,109143,248005,3527,360675
12-Aug-2026,107943,210226,1269,42765,489,3,7860,-12083,40,358512,108187,247258,3067,358512
19-Aug-2026,108092,205733,1025,46550,40,9,11707,-11979,40,361217,111722,245987,3508,361217
26-Aug-2026,108323,173657,1244,76661,19,12,11472,-12476,40,358952,110626,245215,3111,358952
02-Sep-2026,108500,169961,1504,80294,7,2,11857,-14266,40,357899,110692,243713,3494,357899
