tender_date,maturity,coupon,tender_no,offered,bids_n,success_n,bid,accepted,coverage,over_under,low_acc,high_acc,wavg,low_unacc,high_unacc,wavg_unacc
2025-07-31,2034-05-15,0.0425,957,175,66,15,651,175,3.72,0,4.395,4.41,4.4053,4.41,4.465,4.4363
2025-07-24,2029-04-20,0.03,956,225,37,10,875,225,3.8889,0,3.64,3.66,3.6511,3.66,3.72,3.6792
2025-07-24,2037-04-15,0.0275,956,175,42,26,486,175,2.7771,0,4.775,4.81,4.7976,4.81,4.855,4.8294
2025-07-24,2054-05-15,0.05,956,50,35,14,181,50,3.62,0,5.275,5.3,5.2905,5.3025,5.38,5.3234
2025-07-17,2030-05-15,0.045,955,200,38,16,736,200,3.68,0,3.8275,3.8525,3.8413,3.8525,3.905,3.8629
2025-07-17,2036-05-15,0.0425,955,200,42,16,565,200,2.825,0,4.6425,4.665,4.6582,4.665,4.7325,4.6874
2025-07-17,2041-05-15,0.0175,955,50,36,5,183,50,3.66,0,5.025,5.0325,5.0288,5.0375,5.1075,5.0553
2025-07-10,2029-04-20,0.03,954,250,46,18,661,250,2.644,0,3.6375,3.655,3.6485,3.655,3.7225,3.6747
2025-07-10,2035-05-15,0.045,954,200,39,12,699,200,3.495,0,4.5125,4.525,4.517,4.525,4.5975,4.5479
2025-06-26,2029-04-20,0.03,953,225,44,14,1275,225,5.6667,0,3.6525,3.665,3.6599,3.665,3.69,3.6704
2025-06-26,2035-05-15,0.045,953,175,36,9,438,175,2.5029,0,4.49,4.5125,4.5042,4.5125,4.5975,4.5368
2025-06-26,2041-05-15,0.0175,953,50,28,10,165,50,3.3,0,4.9425,4.9575,4.9505,4.9575,5.0225,4.9818
2025-06-19,2029-04-20,0.03,952,225,40,10,817,225,3.6311,0,3.765,3.7775,3.7719,3.78,3.8625,3.8067
2025-06-19,2037-04-15,0.0275,952,175,45,11,622,175,3.5543,0,4.7875,4.8,4.7953,4.8,4.865,4.8219
2025-06-19,2051-05-15,0.0275,952,50,23,2,176,50,3.52,0,5.2475,5.2525,5.2495,5.2525,5.3375,5.2974
2025-06-12,2030-05-15,0.045,951,250,64,22,1075,250,4.3,0,3.9,3.925,3.9172,3.925,4.015,3.9479
2025-06-12,2036-05-15,0.0425,951,200,47,12,644,200,3.22,0,4.645,4.66,4.6542,4.66,4.7675,4.6999
2025-06-05,2029-04-20,0.03,950,200,44,13,1060,200,5.3,0,3.7,3.7225,3.7131,3.7225,3.8175,3.7445
2025-06-05,2035-05-15,0.045,950,200,42,13,548,200,2.74,0,4.5225,4.5575,4.5476,4.5575,4.65,4.592
2025-06-05,2054-05-15,0.05,950,50,41,18,160,50,3.2,0,5.2475,5.2675,5.2574,5.2675,5.33,5.2871
2025-05-29,2030-05-15,0.045,949,225,48,11,796,225,3.5378,0,3.9875,4.005,3.9948,4.005,4.115,4.0453
2025-05-29,2036-05-15,0.0425,949,225,55,16,736,225,3.2711,0,4.745,4.7675,4.756,4.7675,4.865,4.8049
2025-05-23,2029-04-20,0.03,948,250,32,12,731,250,2.924,0,3.69,3.72,3.7091,3.72,3.77,3.7429
2025-05-23,2033-04-14,0.035,948,150,32,15,500,150,3.3333,0,4.43,4.45,4.442,4.45,4.495,4.4718
2025-05-23,2041-05-15,0.0175,948,50,20,7,150,50,3,0,5.15,5.17,5.163,5.17,5.22,5.192
2025-05-15,2030-05-15,0.045,947,200,51,12,1199,200,5.995,0,3.9775,3.9825,3.9792,3.9825,4.05,4.0002
2025-05-15,2036-05-15,0.0425,947,200,50,14,726,200,3.63,0,4.77,4.7875,4.7811,4.7875,4.8525,4.8115
2025-05-15,2041-05-15,0.0175,947,50,30,7,171,50,3.42,0,5.135,5.1425,5.1395,5.145,5.2075,5.171
2025-05-08,2029-04-20,0.03,946,225,43,9,840,225,3.7333,0,3.58,3.5975,3.5881,3.6,3.67,3.6249
2025-05-08,2036-05-15,0.0425,946,175,44,15,682,175,3.8971,0,4.565,4.58,4.5733,4.58,4.625,4.6025
2025-05-08,2051-05-15,0.0275,946,50,32,13,172,50,3.44,0,5.1,5.135,5.1148,5.135,5.195,5.1522
2025-05-01,2030-05-15,0.045,945,250,51,13,943,250,3.772,0,3.785,3.7975,3.7948,3.7975,3.93,3.8249
2025-05-01,2034-05-15,0.0425,945,150,49,17,458,150,3.0533,0,4.3525,4.3725,4.3646,4.3725,4.485,4.4104
2025-05-01,2054-05-15,0.05,945,50,32,16,142,50,2.84,0,5.1775,5.205,5.1969,5.205,5.2675,5.2288
2025-04-24,2030-05-15,0.045,944,250,55,14,1095,250,4.38,0,3.8575,3.875,3.8662,3.875,3.99,3.9074
2025-04-24,2036-05-15,0.0425,944,250,53,14,830,250,3.32,0,4.6625,4.6775,4.6722,4.6775,4.7825,4.7103
2025-04-17,2029-04-20,0.03,943,275,48,16,881,275,3.2036,0,3.63,3.6675,3.6556,3.6675,3.7175,3.6884
2025-04-17,2036-05-15,0.0425,943,225,58,12,900,225,4,0,4.6225,4.6325,4.6278,4.6325,4.735,4.6614
2025-04-10,2028-05-15,0.0025,942,275,53,7,960,275,3.4909,0,3.4875,3.495,3.4929,3.495,3.6125,3.5383
2025-04-10,2034-05-15,0.0425,942,225,55,22,654,225,2.9067,0,4.505,4.545,4.5278,4.545,4.655,4.5842
2025-03-27,2029-04-20,0.03,941,250,35,10,765,250,3.06,0,3.905,3.9325,3.9202,3.9325,4.035,3.9602
2025-03-27,2036-05-15,0.0425,941,200,33,11,530,200,2.65,0,4.745,4.7625,4.7536,4.7625,4.8325,4.7908
2025-03-27,2054-05-15,0.05,941,50,22,12,140,50,2.8,0,5.2425,5.2675,5.2552,5.2675,5.3525,5.3002
2025-03-20,2030-05-15,0.045,940,250,46,10,1011,250,4.044,0,4.04,4.045,4.0424,4.045,4.0975,4.0653
2025-03-20,2036-05-15,0.0425,940,200,39,13,820,200,4.1,0,4.675,4.6875,4.6827,4.6875,4.745,4.7077
2025-03-20,2054-05-15,0.05,940,50,31,8,242,50,4.84,0,5.18,5.195,5.1898,5.195,5.2675,5.2256
2025-03-13,2030-05-15,0.045,939,250,58,10,1225,250,4.9,0,4.0825,4.0875,4.0852,4.0875,4.1625,4.1072
2025-03-13,2034-05-15,0.0425,939,200,50,11,1010,200,5.05,0,4.5825,4.59,4.5881,4.59,4.675,4.6157
2025-03-13,2054-05-15,0.05,939,50,48,12,252,50,5.04,0,5.2425,5.2575,5.2532,5.2575,5.355,5.284
2025-03-06,2028-05-15,0.0025,938,250,45,14,1008,250,4.032,0,3.8375,3.855,3.8457,3.855,3.945,3.8848
2025-03-06,2036-05-15,0.0425,938,200,47,25,550,200,2.75,0,4.77,4.805,4.7856,4.805,4.8925,4.8354
2025-03-06,2041-05-15,0.0175,938,50,35,7,210,50,4.2,0,5.07,5.0825,5.0758,5.085,5.1975,5.1302
2025-02-27,2029-04-20,0.03,937,225,48,13,959,225,4.2622,0,3.945,3.9575,3.9518,3.9575,4.0575,3.9813
2025-02-27,2033-04-14,0.035,937,225,37,21,530,225,2.3556,0,4.4125,4.455,4.4339,4.455,4.53,4.4836
2025-02-27,2041-05-15,0.0175,937,50,26,6,209,50,4.18,0,4.955,4.97,4.9612,4.97,5.0575,5.0011
2025-02-20,2027-04-15,0.045,936,250,46,12,1285,250,5.14,0,3.7175,3.735,3.7301,3.735,3.8425,3.7664
2025-02-20,2034-05-15,0.0425,936,200,48,12,968,200,4.84,0,4.575,4.59,4.5862,4.59,4.69,4.6134
2025-02-20,2041-05-15,0.0175,936,50,29,7,232,50,4.64,0,5.05,5.0575,5.053,5.06,5.1175,5.0874
2025-02-05,2027-04-15,0.045,935,225,42,9,1257,225,5.5867,0,3.5375,3.545,3.5423,3.545,3.6025,3.5646
2025-02-05,2032-05-15,0.02,935,225,51,10,882,225,3.92,0,4.25,4.26,4.2563,4.26,4.335,4.2799
2025-02-05,2051-05-15,0.0275,935,50,35,7,209,50,4.18,0,5.0825,5.0875,5.0855,5.09,5.17,5.1236
2025-01-30,2031-05-15,0.015,934,200,49,18,651,200,3.255,0,4.135,4.1675,4.1588,4.1675,4.26,4.1961
2025-01-30,2036-05-15,0.0425,934,200,51,16,759,200,3.795,0,4.6425,4.665,4.6599,4.665,4.7725,4.695
2025-01-30,2041-05-15,0.0175,934,100,44,17,314,100,3.14,0,4.94,4.9625,4.9542,4.9625,5.0525,4.9925
2025-01-23,2031-05-15,0.015,933,200,42,7,780,200,3.9,0,4.2425,4.2475,4.244,4.2475,4.3525,4.277
2025-01-23,2036-05-15,0.0425,933,200,40,14,587,200,2.935,0,4.745,4.755,4.7511,4.755,4.8325,4.7851
