date,zirepo:H0
2026-02-19,-0.048601
2026-02-20,-0.050337
2026-02-23,-0.059973
2026-02-24,-0.060136
2026-02-25,-0.063311
2026-02-26,-0.058958
2026-02-27,-0.076166
2026-03-02,-0.057586
2026-03-03,-0.048623
2026-03-04,-0.049259
2026-03-05,-0.065053
2026-03-06,-0.073171
2026-03-09,-0.06033
2026-03-10,-0.056473
2026-03-11,-0.052212
2026-03-12,-0.050214
2026-03-13,-0.046341
2026-03-16,-0.046708
2026-03-17,-0.045598
2026-03-18,-0.046489
2026-03-19,-0.045643
2026-03-20,-0.046065
2026-03-23,-0.045547
2026-03-24,-0.047375
2026-03-25,-0.047454
2026-03-26,-0.046172
2026-03-27,-0.044227
2026-03-30,-0.041929
2026-03-31,-0.066425
2026-04-01,-0.042195
2026-04-02,-0.041234
2026-04-07,-0.043035
2026-04-08,-0.045544
2026-04-09,-0.044869
2026-04-10,-0.045195
2026-04-13,-0.04411
2026-04-14,-0.043496
2026-04-15,-0.041183
2026-04-16,-0.04189
2026-04-17,-0.039144
2026-04-20,-0.040388
2026-04-21,-0.039318
2026-04-22,-0.039025
2026-04-23,-0.039259
2026-04-24,-0.037942
2026-04-27,-0.038124
2026-04-28,-0.038846
2026-04-29,-0.038119
2026-04-30,-0.046989
2026-05-04,-0.037902
2026-05-05,-0.039899
2026-05-06,-0.045711
2026-05-07,-0.040364
2026-05-08,-0.042742
2026-05-11,-0.048372
2026-05-12,-0.05358
2026-05-13,-0.053133
2026-05-15,-0.049175
2026-05-18,-0.04771
2026-05-19,-0.047239
2026-05-20,-0.046679
2026-05-21,-0.04655
2026-05-22,-0.044311
2026-05-26,-0.04398
2026-05-27,-0.039893
2026-05-28,-0.04018
2026-05-29,-0.055974
2026-06-01,-0.044046
2026-06-02,-0.041098
2026-06-03,-0.040199
2026-06-04,-0.039066
2026-06-05,-0.037253
2026-06-08,-0.037412
2026-06-09,-0.037108
2026-06-10,-0.037622
2026-06-11,-0.037873
2026-06-12,-0.037657
2026-06-15,-0.037867
2026-06-16,-0.038077
2026-06-17,-0.03863
2026-06-18,-0.038204
2026-06-19,-0.037545
2026-06-22,-0.038433
2026-06-23,-0.038222
2026-06-24,-0.038477
2026-06-25,-0.038689
2026-06-26,-0.038579
2026-06-29,-0.038212
2026-06-30,-0.043903
2026-07-01,-0.037259
2026-07-02,-0.037963
2026-07-03,-0.03818
2026-07-06,-0.038263
2026-07-07,-0.038226
2026-07-08,-0.038456
2026-07-09,-0.038013
2026-07-10,-0.0383
2026-07-13,-0.038424
2026-07-14,-0.042717
2026-07-15,-0.043818
2026-07-16,-0.044362
2026-07-17,-0.042466
2026-07-20,-0.04679
2026-07-21,-0.043662
2026-07-22,-0.043322
2026-07-23,-0.042372
2026-07-24,-0.041639
2026-07-27,-0.04201
2026-07-28,-0.037522
2026-07-29,-0.037256
2026-07-30,-0.036317
2026-07-31,-0.04909
2026-08-03,-0.045588
2026-08-04,-0.067683
2026-08-05,-0.077842
2026-08-06,-0.059883
2026-08-07,-0.051743
2026-08-10,-0.04762
2026-08-11,-0.047224
2026-08-12,-0.046987
2026-08-13,-0.047349
2026-08-14,-0.053059
