date,GFG,D,RIWF,IZ,W,IG,FI,WSF,UA,T0,N,GB,VB,GBI,US,UT,SP,RE,T1,FRGSF,VRGSF,VF,GD,FRGUSD,GSGSF,ES,DS,AIWFS
2004-11,22951.5861679,61765.74012821,2207.67314656,24.01496245,311.69054131,,-4.64762817,7252.10892328,952.05808536,117670.2243269,37078.514325,6384.32078297,2585.3126106,298.93811284,209.85260422,0,5.63962242,70453.85661337,117670.2243269,22210,0,653.78965548,0,,,,,
2004-12,21639.22191131,60708.02531059,2035.10882115,80.09703548,291.27634192,,11.8156656,7393.59138375,1246.92473895,117908.79237995,39719.25819,6541.68404037,2154.79206099,329.42361316,165.00741578,0,160.85304525,68837.23445954,117908.79237995,24502.7311712,0,0.53955486,0,,,,,
2005-01,21230.81002864,60454.39772232,2028.69102855,100.9628573,284.78146992,,4.34955029,7113.60362104,950.46741282,111669.06369088,37566.242885,4474.86879299,1185.65040433,345.80640804,209.77693838,0,13.2898035,67880.38578455,111669.06369088,19501,0,-6.95732591,0,,,,,
2005-02,20913.07916159,61716.3377886,1958.33768346,111.29295883,284.78146992,,-3.57998696,6535.9553017,960.5157637,111978.72014084,37165.967895,4792.78920643,1074.41651044,279.36416865,225.53830135,0,9.1187837,68439.38955829,111978.72014084,19502,0,-7.86428302,0,,,,,
2005-03,21268.82693747,63786.2192587,2023.79833065,4.1277702,290.75599644,,10.56066182,5867.98003545,1093.55857896,116559.86864109,37713.856915,5604.32691178,1296.20063672,225.45040457,216.40414098,0,304.09463799,71199.02167485,116559.86864109,22214.0410714,0,0.5133192,0,,,,,
2005-04,21208.17916169,62371.44187111,1832.92697485,21.80113559,283.99694872,,0.67836599,5709.04982101,932.93628619,115364.01056515,37204.064415,5504.93597396,1548.88037776,316.56407618,208.5565819,0,24024.02883899,46556.89236141,115364.01056515,23003,0,0.08793995,0,,,,,
2005-05,21208.59001171,56529.87013084,1831.34483492,28.26398905,283.99661511,,2.48498374,5682.4666821,965.30476803,109534.3270275,37120.110985,4493.62208504,5530.15822244,309.72020208,219.40547575,0,14796.27956762,47065.76152475,109534.3270275,23002.005012,0,-0.73103518,0,,,,,
2005-06,23320.51965345,48793.62232967,1899.27676481,9.92724753,296.30488406,,0.95068934,5786.62591085,1027.51030192,106738.16012241,37628.70249,5625.62749462,6391.0666005,367.64792673,238.94945387,0,4572.07487122,51913.76597396,106738.16012241,25603.42234078,0,0.32531151,0,,,,,
2005-07,23244.07601751,44452.37687846,1926.66387525,28.49730183,281.39513204,,0.04266189,5687.83827568,984.64219393,97609.53233659,37429.351875,4263.58769937,3535.00996422,403.28753609,207.26838249,0,8.10826593,51762.5712777,97609.53233659,21004,0,0.34733579,0,,,,,
2005-08,23234.09098255,44983.07785721,1537.00801308,76.67886389,281.31438704,,2.24132669,5674.46758632,1031.98403556,97222.86305234,37170.17646,5184.89706896,2392.88809962,307.78343412,206.06067195,0,11.04369159,51950.27650739,97222.86305234,20402,0,-0.26288129,0,,,,,
