date,ILM.D.U2.C.A050500.U2.EUR
2021-04-20,0.0
2021-04-21,1.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,0.0
2021-04-29,0.0
2021-04-30,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,1.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,2.0
2021-05-14,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,1.0
2021-05-21,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,110.0
2021-05-27,146.0
2021-05-28,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,6.0
2021-06-04,3.0
2021-06-07,3.0
2021-06-08,1.0
2021-06-09,0.0
2021-06-10,1.0
2021-06-11,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-21,1.0
2021-06-22,0.0
2021-06-23,17.0
2021-06-24,0.0
2021-06-25,2.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,1.0
2021-07-02,10.0
2021-07-05,0.0
2021-07-06,1.0
2021-07-07,0.0
2021-07-08,0.0
2021-07-09,0.0
2021-07-12,0.0
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-19,0.0
2021-07-20,1.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-26,0.0
2021-07-27,7.0
2021-07-28,0.0
2021-07-29,3.0
2021-07-30,71.0
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,0.0
2021-08-05,0.0
2021-08-06,0.0
2021-08-09,401.0
2021-08-10,0.0
2021-08-11,0.0
2021-08-12,0.0
2021-08-13,0.0
2021-08-16,0.0
2021-08-17,84.0
2021-08-18,50.0
2021-08-19,35.0
2021-08-20,0.0
2021-08-23,1.0
2021-08-24,3.0
2021-08-25,0.0
2021-08-26,0.0
2021-08-27,0.0
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,0.0
2021-09-02,47.0
2021-09-03,0.0
2021-09-06,0.0
2021-09-07,0.0
2021-09-08,1.0
2021-09-09,0.0
2021-09-10,19.0
2021-09-13,0.0
2021-09-14,14.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,79.0
2021-09-23,15.0
2021-09-24,18.0
2021-09-27,8.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,1.0
2021-10-08,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,10.0
2021-10-14,0.0
2021-10-15,3.0
2021-10-18,0.0
2021-10-19,10.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,3.0
2021-10-28,3.0
2021-10-29,2.0
2021-11-01,2.0
2021-11-02,2.0
2021-11-03,2.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-15,10.0
2021-11-16,0.0
2021-11-17,3.0
2021-11-18,0.0
2021-11-19,3.0
2021-11-22,3.0
2021-11-23,0.0
2021-11-24,1.0
2021-11-25,1.0
2021-11-26,0.0
2021-11-29,0.0
2021-11-30,1.0
2021-12-01,0.0
2021-12-02,0.0
2021-12-03,0.0
2021-12-06,1.0
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,16.0
2021-12-13,0.0
2021-12-14,0.0
2021-12-15,2.0
2021-12-16,0.0
2021-12-17,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,39.0
2021-12-31,0.0
2022-01-03,70.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,9.0
2022-01-28,0.0
2022-01-31,1.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-07,0.0
2022-02-08,6.0
2022-02-09,118.0
2022-02-10,102.0
2022-02-11,66.0
2022-02-14,157.0
2022-02-15,14.0
2022-02-16,0.0
2022-02-17,9.0
2022-02-18,0.0
2022-02-21,1.0
2022-02-22,1.0
2022-02-23,151.0
2022-02-24,122.0
2022-02-25,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,75.0
2022-03-03,60.0
2022-03-04,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-14,12.0
2022-03-15,10.0
2022-03-16,6.0
2022-03-17,1.0
2022-03-18,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,1.0
2022-03-31,50.0
2022-04-01,253.0
2022-04-04,216.0
2022-04-05,15.0
2022-04-06,18.0
2022-04-07,17.0
2022-04-08,10.0
2022-04-11,0.0
2022-04-12,61.0
2022-04-13,10.0
2022-04-14,1.0
2022-04-15,1.0
2022-04-18,1.0
2022-04-19,5.0
2022-04-20,5.0
2022-04-21,45.0
2022-04-22,45.0
2022-04-25,46.0
2022-04-26,6.0
2022-04-27,9.0
2022-04-28,62.0
2022-04-29,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,2.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-16,5.0
2022-05-17,5.0
2022-05-18,0.0
2022-05-19,1.0
2022-05-20,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,8.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-30,0.0
2022-05-31,40.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-06,7.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,1.0
2022-06-10,0.0
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-20,0.0
2022-06-21,5.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-27,0.0
2022-06-28,10.0
2022-06-29,41.0
2022-06-30,0.0
2022-07-01,0.0
2022-07-04,0.0
2022-07-05,1.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,4.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.0
2022-07-18,4.0
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,1.0
2022-07-25,0.0
2022-07-26,1.0
2022-07-27,5.0
2022-07-28,3.0
2022-07-29,0.0
2022-08-01,4.0
2022-08-02,8.0
2022-08-03,19.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-08,0.0
2022-08-09,0.0
2022-08-10,0.0
2022-08-11,1.0
2022-08-12,1.0
2022-08-15,0.0
2022-08-16,57.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,0.0
2022-08-22,0.0
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,1.0
2022-08-29,0.0
2022-08-30,0.0
2022-08-31,1.0
2022-09-01,1.0
2022-09-02,1.0
2022-09-05,1.0
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-12,6.0
2022-09-13,15.0
2022-09-14,0.0
2022-09-15,1.0
2022-09-16,0.0
2022-09-19,11.0
2022-09-20,3.0
2022-09-21,1.0
2022-09-22,10.0
2022-09-23,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,189.0
2022-09-29,219.0
2022-09-30,280.0
2022-10-03,262.0
2022-10-04,14.0
2022-10-05,14.0
2022-10-06,4.0
2022-10-07,13.0
2022-10-10,13.0
2022-10-11,0.0
2022-10-12,3.0
2022-10-13,0.0
2022-10-14,5.0
2022-10-17,10.0
2022-10-18,544.0
2022-10-19,0.0
2022-10-20,1.0
2022-10-21,0.0
2022-10-24,104.0
2022-10-25,2.0
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-31,61.0
2022-11-01,26.0
2022-11-02,0.0
2022-11-03,0.0
2022-11-04,0.0
2022-11-07,0.0
2022-11-08,0.0
2022-11-09,10.0
2022-11-10,0.0
2022-11-11,11.0
2022-11-14,56.0
2022-11-15,92.0
2022-11-16,1.0
2022-11-17,1.0
2022-11-18,37.0
2022-11-21,0.0
2022-11-22,1.0
2022-11-23,15.0
2022-11-24,30.0
2022-11-25,30.0
2022-11-28,121.0
2022-11-29,45.0
2022-11-30,140.0
2022-12-01,0.0
2022-12-02,0.0
2022-12-05,0.0
2022-12-06,0.0
2022-12-07,0.0
2022-12-08,0.0
2022-12-09,0.0
2022-12-12,7.0
2022-12-13,0.0
2022-12-14,0.0
2022-12-15,1.0
2022-12-16,0.0
2022-12-19,1.0
2022-12-20,3.0
2022-12-21,204.0
2022-12-22,0.0
2022-12-23,157.0
2022-12-26,157.0
2022-12-27,87.0
2022-12-28,169.0
2022-12-29,103.0
2022-12-30,519.0
2023-01-02,295.0
2023-01-03,163.0
2023-01-04,55.0
2023-01-05,4.0
2023-01-06,0.0
2023-01-09,0.0
2023-01-10,12.0
2023-01-11,25.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-16,0.0
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,0.0
2023-01-20,0.0
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,87.0
2023-01-26,2.0
2023-01-27,2.0
2023-01-30,5.0
2023-01-31,110.0
2023-02-01,50.0
2023-02-02,32.0
2023-02-03,24.0
2023-02-06,25.0
2023-02-07,39.0
2023-02-08,40.0
2023-02-09,51.0
2023-02-10,55.0
2023-02-13,79.0
2023-02-14,80.0
2023-02-15,0.0
2023-02-16,0.0
2023-02-17,31.0
2023-02-20,5.0
2023-02-21,73.0
2023-02-22,192.0
2023-02-23,57.0
2023-02-24,35.0
2023-02-27,137.0
2023-02-28,180.0
2023-03-01,23.0
2023-03-02,3.0
2023-03-03,4.0
2023-03-06,4.0
2023-03-07,6.0
2023-03-08,20.0
2023-03-09,0.0
2023-03-10,0.0
2023-03-13,0.0
2023-03-14,0.0
2023-03-15,6.0
2023-03-16,26.0
2023-03-17,15.0
2023-03-20,87.0
2023-03-21,192.0
2023-03-22,70.89025606
2023-03-23,66.89937326
2023-03-24,57.4830546
2023-03-27,79.0
2023-03-28,60.0
2023-03-29,89.0
2023-03-30,113.0
2023-03-31,168.0
2023-04-03,88.0
2023-04-04,15.0
2023-04-05,34.0
2023-04-06,26.05153473
2023-04-07,26.05153473
2023-04-10,26.05153473
2023-04-11,44.0
2023-04-12,3.0
2023-04-13,3.0
2023-04-14,0.00159623
2023-04-17,49.0681434
2023-04-18,43.16022987
2023-04-19,0.01159707
2023-04-20,1860.27300461
2023-04-21,5.81535432
2023-04-24,11.38924379
2023-04-25,10.555
2023-04-26,56.555
2023-04-27,14.29380307
2023-04-28,180.0
2023-05-01,180.0
2023-05-02,130.0
2023-05-03,60.0
2023-05-04,0.0
2023-05-05,1.85556097
2023-05-08,1.93444092
2023-05-09,12.89413618
2023-05-10,0.001
2023-05-11,0.1
2023-05-12,0.0
2023-05-15,0.0
2023-05-16,8.0
2023-05-17,18.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-22,1.19514068
2023-05-23,1.0
2023-05-24,4.0
2023-05-25,0.5
2023-05-26,102.5
2023-05-29,118.91601897
2023-05-30,174.04618017
2023-05-31,100.61687327
2023-06-01,30.50951392
2023-06-02,0.0
2023-06-05,1199.62405
2023-06-06,1488.84772304
2023-06-07,90.0
2023-06-08,92.48885438
2023-06-09,102.04244323
2023-06-12,144.50924622
2023-06-13,111.12244322
2023-06-14,120.0
2023-06-15,111.1
2023-06-16,80.42886476
2023-06-19,42.23023874
2023-06-20,29.0
2023-06-21,40.0
2023-06-22,50.0
2023-06-23,105.0
2023-06-26,75.0
2023-06-27,137.0
2023-06-28,257.85679095
2023-06-29,42.62894469
2023-06-30,150.0
2023-07-03,220.0
