issuer,kind,isin,auction,settlement,maturity,nominal,cash,cover,yield,source
FR,bill,FR0101659763,2000-02-07,2000-02-10,2000-08-17,612.0,612.0,3.96,3.57,aft_hist_btf
FR,bill,FR0101208892,2000-02-14,2000-02-17,2000-05-18,865.0,865.0,5.44,3.258,aft_hist_btf
FR,bill,FR0101659771,2000-02-14,2000-02-17,2001-02-15,820.0,820.0,3.83,3.959,aft_hist_btf
DE,bond,DE0001141349,2000-02-16,2000-02-18,2005-02-18,4745.0,4548.557,2.0,5.2,finanzagentur
FR,bond,FR0101465831,2000-02-17,2000-02-22,2002-01-12,1829.0,1813.454,3.12,4.47,aft_hist_mlt
FR,bond,FR0101659813,2000-02-17,2000-02-22,2005-07-12,1906.0,1885.415,3.77,5.23,aft_hist_mlt
FR,bill,FR0101659706,2000-02-21,2000-02-24,2000-05-25,1046.0,1046.0,4.17,3.365,aft_hist_btf
FR,bill,FR0101659763,2000-02-21,2000-02-24,2000-08-17,637.0,637.0,3.39,3.678,aft_hist_btf
FR,bill,FR0101659714,2000-02-28,2000-03-02,2000-05-31,1014.0,1014.0,4.19,3.369,aft_hist_btf
FR,bill,FR0101659771,2000-02-28,2000-03-02,2001-02-15,604.0,604.0,5.37,3.974,aft_hist_btf
FR,bond,FR0000186603,2000-03-02,2000-03-07,2010-04-25,2605.0,2575.564,3.72,5.65,aft_hist_mlt
FR,bond,FR0000570665,2000-03-02,2000-03-07,2008-10-25,554.0,665.188,4.2,5.51,aft_hist_mlt
FR,bond,FR0000570673,2000-03-02,2000-03-07,2009-01-25,425.0,414.29,3.46,0.0,aft_hist_mlt
FR,bond,FR0000571218,2000-03-02,2000-03-07,2029-04-25,840.0,786.072,2.33,5.97,aft_hist_mlt
FR,bill,FR0101659722,2000-03-06,2000-03-09,2000-06-08,1030.0,1030.0,4.66,3.382,aft_hist_btf
FR,bill,FR0101659789,2000-03-06,2000-03-09,2000-09-28,814.0,814.0,3.86,3.756,aft_hist_btf
FR,bill,FR0101659730,2000-03-13,2000-03-16,2000-06-15,1026.0,1026.0,3.19,3.48,aft_hist_btf
FR,bill,FR0101659771,2000-03-13,2000-03-16,2001-02-15,602.0,602.0,3.68,4.106,aft_hist_btf
DE,bond,DE0001136893,2000-03-15,2000-03-17,2002-03-15,4476.5,4474.709,3.3,4.52,finanzagentur
FR,bond,FR0101465831,2000-03-16,2000-03-21,2002-01-12,1601.0,1586.911,4.0,4.51,aft_hist_mlt
FR,bond,FR0101659813,2000-03-16,2000-03-21,2005-07-12,1920.0,1912.896,4.43,5.08,aft_hist_mlt
FR,bill,FR0101659748,2000-03-20,2000-03-23,2000-06-22,1095.0,1095.0,4.15,3.52,aft_hist_btf
FR,bill,FR0101659789,2000-03-20,2000-03-23,2000-09-28,647.0,647.0,5.2,3.799,aft_hist_btf
FR,bill,FR0101208967,2000-03-27,2000-03-30,2000-06-29,885.0,885.0,5.91,3.52,aft_hist_btf
FR,bill,FR0101659797,2000-03-27,2000-03-30,2001-03-29,845.0,845.0,2.96,4.174,aft_hist_btf
FR,bill,FR0101659797,2000-04-03,2000-04-06,2001-03-29,1091.0,1091.0,4.13,4.167,aft_hist_btf
FR,bill,FR0101930099,2000-04-03,2000-04-06,2000-07-06,1257.0,1257.0,2.55,3.54,aft_hist_btf
FR,bond,FR0000186413,2000-04-06,2000-04-11,2029-07-25,266.0,250.785,2.84,3.72,aft_hist_mlt
FR,bond,FR0000186603,2000-04-06,2000-04-11,2010-04-25,2786.0,2826.954,3.59,5.31,aft_hist_mlt
FR,bond,FR0000570665,2000-04-06,2000-04-11,2008-10-25,560.0,684.88,3.99,5.19,aft_hist_mlt
FR,bond,FR0000571218,2000-04-06,2000-04-11,2029-04-25,700.0,680.96,2.75,5.69,aft_hist_mlt
FR,bill,FR0101208405,2000-04-10,2000-04-13,2000-07-13,1105.0,1105.0,3.8,3.591,aft_hist_btf
FR,bill,FR0101930107,2000-04-10,2000-04-13,2000-11-02,803.0,803.0,4.03,3.927,aft_hist_btf
DE,bill,DE0001114346,2000-04-12,2000-04-14,2000-10-13,5125.0,5024.704,1.3,3.946,finanzagentur
