month,date,line,amount,source
2024-12,2024-12-31,OAT 0.50% 25/05/2025,782.0,1224_op%C3%A9rations%20mensuelles_UK.pdf
2024-12,2024-12-31,OAT 0.50% 25/05/2026,1174.0,1224_op%C3%A9rations%20mensuelles_UK.pdf
2024-12,2024-12-31,OAT 1.00% 25/11/2025,1393.0,1224_op%C3%A9rations%20mensuelles_UK.pdf
2024-12,2024-12-31,OAT 2.50% 24/09/2026,4234.0,1224_op%C3%A9rations%20mensuelles_UK.pdf
2024-12,2024-12-31,OAT 3.50 % 25/04/2026,329.0,1224_op%C3%A9rations%20mensuelles_UK.pdf
2024-12,2024-12-31,OAT 6.00% 25/10/2025,407.0,1224_op%C3%A9rations%20mensuelles_UK.pdf
2025-01,2025-01-31,,0.0,0125_op%C3%A9rations%20mensuelles_UK.pdf
2025-02,2025-02-28,OAT 0.00% 25/02/2025,442.0,0225_op%C3%A9rations%20mensuelles_UK.pdf
2025-02,2025-02-28,OAT 0.00% 25/02/2026,500.0,0225_op%C3%A9rations%20mensuelles_UK.pdf
2025-02,2025-02-28,OAT 0.00% 25/03/2025,775.0,0225_op%C3%A9rations%20mensuelles_UK.pdf
2025-02,2025-02-28,OAT 0.25% 25/11/2026,150.0,0225_op%C3%A9rations%20mensuelles_UK.pdf
2025-02,2025-02-28,OAT 0.50% 25/05/2026,970.0,0225_op%C3%A9rations%20mensuelles_UK.pdf
2025-02,2025-02-28,OAT 2.50% 24/09/2026,880.0,0225_op%C3%A9rations%20mensuelles_UK.pdf
2025-02,2025-02-28,OAT€i 0.10% 01/03/2026,500.0,0225_op%C3%A9rations%20mensuelles_UK.pdf
2025-03,2025-03-31,"OAT 0,00% 25/02/2026",855.0,0325_op%C3%A9rations%20mensuelles_UK.pdf
2025-03,2025-03-31,"OAT 0,00% 25/03/2025",705.0,0325_op%C3%A9rations%20mensuelles_UK.pdf
2025-03,2025-03-31,"OAT 0,25% 25/11/2026",200.0,0325_op%C3%A9rations%20mensuelles_UK.pdf
2025-03,2025-03-31,"OAT 0,50% 25/05/2026",445.0,0325_op%C3%A9rations%20mensuelles_UK.pdf
2025-03,2025-03-31,"OAT 2,50% 24/09/2026",500.0,0325_op%C3%A9rations%20mensuelles_UK.pdf
2025-03,2025-03-31,"OAT€i 0,10% 01/03/2026",500.0,0325_op%C3%A9rations%20mensuelles_UK.pdf
2025-04,2025-04-30,"OAT 0,00% 25/02/2026",345.0,0425_op%C3%A9rations%20mensuelles_UK.pdf
2025-04,2025-04-30,"OAT 0,50% 25/05/2026",1300.0,0425_op%C3%A9rations%20mensuelles_UK.pdf
2025-04,2025-04-30,"OAT 2,50% 24/09/2026",310.0,0425_op%C3%A9rations%20mensuelles_UK.pdf
2025-04,2025-04-30,"OAT 3,50 % 25/04/2026",505.0,0425_op%C3%A9rations%20mensuelles_UK.pdf
2025-04,2025-04-30,"OAT€i 0,10% 01/03/2026",550.0,0425_op%C3%A9rations%20mensuelles_UK.pdf
2025-05,2025-05-30,OAT 0.00% 25/02/2026,445.0,0525_op%C3%A9rations%20mensuelles_UK.pdf
2025-05,2025-05-30,OAT 0.25% 25/11/2026,625.0,0525_op%C3%A9rations%20mensuelles_UK.pdf
2025-05,2025-05-30,OAT 0.50% 25/05/2025,300.0,0525_op%C3%A9rations%20mensuelles_UK.pdf
2025-05,2025-05-30,OAT 0.50% 25/05/2026,1918.0,0525_op%C3%A9rations%20mensuelles_UK.pdf
2025-05,2025-05-30,OAT 2.50% 24/09/2026,820.0,0525_op%C3%A9rations%20mensuelles_UK.pdf
2025-05,2025-05-30,OAT 3.50 % 25/04/2026,932.0,0525_op%C3%A9rations%20mensuelles_UK.pdf
2025-05,2025-05-30,OAT€i 0.10% 01/03/2026,600.0,0525_op%C3%A9rations%20mensuelles_UK.pdf
2025-06,2025-06-30,OAT 0.00% 25/02/2026,958.0,0625_op%C3%A9ration%20mensuelles_UK.pdf
2025-06,2025-06-30,OAT 0.00% 25/02/2027,55.0,0625_op%C3%A9ration%20mensuelles_UK.pdf
2025-06,2025-06-30,OAT 0.25% 25/11/2026,280.0,0625_op%C3%A9ration%20mensuelles_UK.pdf
2025-06,2025-06-30,OAT 0.50% 25/05/2026,1675.0,0625_op%C3%A9ration%20mensuelles_UK.pdf
2025-06,2025-06-30,OAT 1.00% 25/05/2027,450.0,0625_op%C3%A9ration%20mensuelles_UK.pdf
2025-06,2025-06-30,OAT 2.50% 24/09/2026,1095.0,0625_op%C3%A9ration%20mensuelles_UK.pdf
